Rank,Title,Duration (min),Rating,Director,Cast,Release Date,Production Cost,Worldwide Gross,Opening Weekend,MPAA,Genre
176,How to Train Your Dragon,98.0,8.1,Dean DeBlois,"Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson",2010-03-26,165000000,494870992,43732319.0,PG,Adventure
178,Wreck-It Ralph,101.0,7.7,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",2012-11-01,165000000,496511521,49038712.0,PG,Adventure
179,Interstellar,169.0,8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",2014-11-05,165000000,649133873,47510360.0,PG-13,Adventure
180,Dune,155.0,8.0,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",2021-09-15,165000000,397720527,41011174.0,PG-13,Action
181,Dune,137.0,6.3,David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino",2021-09-15,165000000,397720527,41011174.0,PG-13,Action
182,Independence Day: Resurgence,120.0,5.2,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe",2016-06-22,165000000,384169424,41039944.0,PG-13,Action
184,Beauty and the Beast,129.0,7.1,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",2017-03-16,160000000,1270042058,174750616.0,PG,Musical
185,Beauty and the Beast,84.0,8.0,Gary Trousdale,"Kirk Wise, Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",2017-03-16,160000000,1270042058,174750616.0,PG,Musical
186,Beauty and the Beast,90.0,3.1,David Lister,"Estella Warren, Rhett Giles, Victor Parascos, Vanessa Gray",2017-03-16,160000000,1270042058,174750616.0,PG,Musical
188,Aquaman,143.0,6.8,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",2018-12-06,160000000,1143758700,67873522.0,PG-13,Action
189,Shrek the Third,93.0,6.1,Chris Miller,"Raman Hui, Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",2007-05-17,160000000,807330936,121629270.0,PG,Adventure
190,Inception,148.0,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",2010-07-16,160000000,728582465,62785337.0,PG-13,Thriller/Suspense
191,The Hunger Games: Mockingjay - Part 2,137.0,6.5,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2015-11-18,160000000,648986787,102665981.0,PG-13,Thriller/Suspense
193,Godzilla,123.0,6.4,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",2014-05-14,160000000,529076069,93188384.0,PG-13,Action
